요일,출발,도착,이동인구(합),x1,y1,x2,y2
주중,11230,11220,20245.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주중,11140,11130,15983.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주중,11220,11230,14744.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주중,11230,11240,12529.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주중,11130,11140,10191.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주중,11230,11210,8720.0,37.514575,127.049555555555,37.4753861111111,126.953844444444
주중,11230,11050,8084.0,37.514575,127.049555555555,37.5357388888888,127.084533333333
주중,11150,11160,8051.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주중,11240,11250,7978.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주중,11160,11150,7768.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주중,11020,11010,7495.0,37.5610027777777,126.999641666666,37.5703777777777,126.981641666666
주중,11050,11040,7200.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주중,11140,11120,6662.0,37.5607055555555,126.910530555555,37.5096555555555,126.941575
주중,11010,11020,6525.0,37.5703777777777,126.981641666666,37.5610027777777,126.999641666666
주중,11230,11040,6436.0,37.514575,127.049555555555,37.5606111111111,127.039
주중,11240,11230,6154.0,37.5117555555555,127.107930555555,37.514575,127.049555555555
주중,11040,11050,6127.0,37.5606111111111,127.039,37.5357388888888,127.084533333333
주중,11200,11210,6111.0,37.5096555555555,126.941575,37.4753861111111,126.953844444444
주중,11010,11080,6098.0,37.5703777777777,126.981641666666,37.5863833333333,127.020333333333
주중,11210,11200,5936.0,37.4753861111111,126.953844444444,37.5096555555555,126.941575
주중,11220,11210,5759.0,37.4807861111111,127.034811111111,37.4753861111111,126.953844444444
주중,11140,11160,5604.0,37.5607055555555,126.910530555555,37.5481555555555,126.851675
주중,11190,11170,5513.0,37.5236111111111,126.898341666666,37.49265,126.889597222222
주중,11090,11100,5466.0,37.6369555555555,127.027719444444,37.6658333333333,127.049522222222
주중,11130,11120,5157.0,37.5763666666666,126.938897222222,37.5096555555555,126.941575
주중,11040,11060,5145.0,37.5606111111111,127.039,37.571625,127.042141666666
주중,11140,11190,4983.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
주중,11250,11240,4946.0,37.5273666666666,127.125863888888,37.5117555555555,127.107930555555
주중,11220,11200,4911.0,37.4807861111111,127.034811111111,37.5096555555555,126.941575
주중,11230,11200,4744.0,37.514575,127.049555555555,37.5096555555555,126.941575
주중,11190,11200,4699.0,37.5236111111111,126.898341666666,37.5096555555555,126.941575
주중,11230,11030,4622.0,37.514575,127.049555555555,37.5360944444444,126.967522222222
주중,11020,11040,4500.0,37.5610027777777,126.999641666666,37.5606111111111,127.039
주중,11020,11060,4492.0,37.5610027777777,126.999641666666,37.571625,127.042141666666
주중,11140,11030,4439.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주중,11240,11050,4355.0,37.5117555555555,127.107930555555,37.5357388888888,127.084533333333
주중,11020,11080,4342.0,37.5610027777777,126.999641666666,37.5863833333333,127.020333333333
주중,11030,11140,4308.0,37.5360944444444,126.967522222222,37.5607055555555,126.910530555555
주중,11140,11210,4259.0,37.5607055555555,126.910530555555,37.4753861111111,126.953844444444
주중,11080,11060,4238.0,37.5863833333333,127.020333333333,37.571625,127.042141666666
주중,11110,11100,4199.0,37.6514611111111,127.058388888888,37.6658333333333,127.049522222222
주중,11090,11080,4171.0,37.6369555555555,127.027719444444,37.5863833333333,127.020333333333
주중,11190,11210,4151.0,37.5236111111111,126.898341666666,37.4753861111111,126.953844444444
주중,11080,11090,4048.0,37.5863833333333,127.020333333333,37.6369555555555,127.027719444444
주중,11060,11040,3855.0,37.571625,127.042141666666,37.5606111111111,127.039
주중,11230,11140,3820.0,37.514575,127.049555555555,37.5607055555555,126.910530555555
주중,11070,11110,3816.0,37.6038055555555,127.094777777777,37.6514611111111,127.058388888888
주중,11190,11160,3800.0,37.5236111111111,126.898341666666,37.5481555555555,126.851675
주중,11230,11250,3792.0,37.514575,127.049555555555,37.5273666666666,127.125863888888
주중,11120,11130,3751.0,37.5096555555555,126.941575,37.5763666666666,126.938897222222
